,Price,Beds,Baths,Sq ft,Street,City,Zip
216,$643,7,2,"1,932",2143 INDIANA AVE,COLUMBUS, 43201
217,$816,8,3,"2,191",328 E 17TH AVE,COLUMBUS, 43201
218,"$4,815",9,2,"2,540",88 W NORTHWOOD AVE,COLUMBUS, 43201
219,$825,7,3,"3,692",92 E FRAMBES AVE,COLUMBUS, 43201
220,"$1,675",2,1,990,767 N HIGH ST # R-201,COLUMBUS, 43215
221,"$2,590",3,2,"1,969",1431 CARYLAKE CIR,COLUMBUS, 43240
222,"$1,635",2,2,832,2227 TEARDROP AVE # 35D,COLUMBUS, 43235
223,"$1,750",3,3,"1,714",4331 SESTOS DR,COLUMBUS, 43207
224,"$1,900",2,2,"1,158",196 S GRANT AVE APT 306,COLUMBUS, 43215
225,"$2,995",3,3,"2,267",383 KING AVE,COLUMBUS, 43201
226,"$1,450",2,1,"2,288",293 E WHITTIER ST,COLUMBUS, 43206
227,$825,2,1,950,3632 CUSHING DR APT C,COLUMBUS, 43227
228,"$1,500",—,—,"13,829",929933 OAKLAND PARK AVE # 3276,COLUMBUS, 43224
229,"$1,500",—,—,"13,829",929933 OAKLAND PARK AVE # 3278,COLUMBUS, 43224
230,"$2,500",3,4,"1,204",272 S 22ND ST,COLUMBUS, 43205
231,$850,2,1,"4,860",1414 E COLUMBUS ST APT C,COLUMBUS, 43206
232,$10,—,—,"9,239",960 W BROAD ST,COLUMBUS, 43222
233,$10,—,—,"11,583",1268 W BROAD ST,COLUMBUS, 43222
234,"$4,400",4,4,"3,164",8862 GOLDEN LEAF CT,PICKERINGTON, 43147
235,"$5,400",2,3,"2,486",300 W SPRING ST UNIT 503,COLUMBUS, 43215
236,$10,—,—,"10,531",1840 ZOLLINGER RD # 101,UPPER ARLINGTON, 43221
237,"$3,300",—,—,"21,180",6150 CLEVELAND AVE,COLUMBUS, 43231
238,$850,—,—,"11,211",12927 STONECREEK DR,PICKERINGTON, 43147
239,"$4,300",2,1,974,4522 HICKORY CHASE WAY # UNIT,HILLIARD, 43026
240,"$4,300",2,2,968,4522 HICKORY CHASE WAY # UNIT,HILLIARD, 43026
241,"$1,750",1,1,761,65 S WASHINGTON AVE UNIT 311,COLUMBUS, 43215
242,"$3,150",2,3,"1,772",65 S WASHINGTON AVE UNIT 109,COLUMBUS, 43215
243,"$1,000",—,—,529,8142 MORRIS RD # A,HILLIARD, 43026
244,$800,—,—,"4,027",8142 MORRIS RD # B,HILLIARD, 43026
245,"$1,967",2,3,"1,361",710 ZUMSTEIN LN,WESTERVILLE, 43082
246,"$3,300",4,3,"2,328",1616 TRENTWOOD RD,COLUMBUS, 43221
247,"$2,260",1,1,"1,245",44 N HIGH ST UNIT 3B,COLUMBUS, 43215
248,"$3,500",3,2,"1,219",161 SHULL AVE,COLUMBUS, 43230
249,"$2,000",1,1,692,448 W NATIONWIDE BLVD APT 404,COLUMBUS, 43215
250,$14.50,—,—,"10,910",1797 HILL RD N,PICKERINGTON, 43147
251,$17,—,—,"73,247",4977 E DUBLIN GRANVILLE RD,WESTERVILLE, 43081
